graph_type,vertices,edges,algorithm,heap,trials,total_us_mean,total_us_median,insert_count_mean,deletemin_count_mean,decreasekey_count_mean,insert_ns_mean,deletemin_ns_mean,decreasekey_ns_mean,heap_ns_mean,heap_fraction_mean
random_sparse,5000,24996,prim,fibonacci,3,3147.0,3150.0,5000.0,5000.0,12117.0,285533.3333333333,1591900.0,421333.3333333333,2298766.6666666665,0.7304702885387759
random_sparse,5000,24993,prim,pairing,1,1693.0,1693.0,5000.0,5000.0,12038.0,210000.0,319600.0,345900.0,875500.0,0.5171293561724749
random_sparse,5000,24995,prim,pairing,1,1669.0,1669.0,5000.0,5000.0,12233.0,209000.0,319200.0,337300.0,865500.0,0.518573996405033
random_sparse,5000,24996,prim,pairing,3,2006.6666666666667,1778.0,5000.0,5000.0,12124.666666666666,235400.0,385933.3333333333,432833.3333333333,1054166.6666666667,0.5241064591213757
synthetic_worst,1000,188499,dijkstra,fibonacci,5,951.8,901.0,1000.0,1000.0,999.0,55480.0,256580.0,25300.0,337360.0,0.3580870389608521
synthetic_worst,1000,188499,dijkstra,pairing,5,679.0,660.0,1000.0,1000.0,999.0,55280.0,36140.0,24260.0,115680.0,0.1705978037298121
synthetic_worst,5000,4692499,dijkstra,fibonacci,5,13410.2,13252.0,5000.0,5000.0,4999.0,324960.0,1371680.0,132840.0,1829480.0,0.13641129820492906
synthetic_worst,5000,4692499,dijkstra,pairing,5,13613.4,13540.0,5000.0,5000.0,4999.0,260440.0,265040.0,121320.0,646800.0,0.04748847310044492
synthetic_worst,1000,188499,prim,fibonacci,5,1488.0,1488.0,1000.0,1000.0,15249.0,68900.0,216540.0,389680.0,675120.0,0.45322992431095727
synthetic_worst,1000,188499,prim,pairing,5,1376.0,1387.0,1000.0,1000.0,15249.0,65200.0,65860.0,381440.0,512500.0,0.37325851038658364
synthetic_worst,5000,4692499,prim,fibonacci,5,17213.6,17060.0,5000.0,5000.0,76249.0,299220.0,1399680.0,2032640.0,3731540.0,0.21661919258633575
synthetic_worst,5000,4692499,prim,pairing,5,16449.8,16418.0,5000.0,5000.0,76249.0,296000.0,517960.0,2018500.0,2832460.0,0.17211983212797133
